"question","options","answer"
"新生入学复查包含下面哪些内容（）","录取手续是否合规 | 考生身份档案与本人是否一致 | 身心健康是否符合专业体检要求 | 学生家庭经济条件","录取手续是否合规 | 考生身份档案与本人是否一致 | 身心健康是否符合专业体检要求"
"以下哪些行为属于学术不端行为（）","论文抄袭 | 篡改实验数据 | 代写论文 | 引用文献规范标注出处","论文抄袭 | 篡改实验数据 | 代写论文"
"根据福州大学学生住宿管理办法，下面属于违规电器的有（）","电煮锅、电热毯 | 电脑、台灯 | 大功率取暖器 | 吹风机（非临时使用）","电煮锅、电热毯 | 大功率取暖器 | 吹风机（非临时使用）"
"学生申诉期内，不停止原处分决定的执行。","对 | 错","对"
"学生参加缓考，缓考不及格不再安排补考，必须重修。","对 | 错","对"
"大四本科生可以申请转专业。","对 | 错","错"
"一学期累计旷课达30学时的，给予记过处分。","对 | 错","对"
"学生参加勤工助学的时间每月不超过40小时。","对 | 错","对"
"学生宿舍内允许使用电热水壶，但必须是3C认证产品。","对 | 错","对"
"学生在校期间只允许辅修一个专业。","对 | 错","对"
"解除处分后，学生获得表彰、奖励及其他权益，不再受原处分的影响。","对 | 错","对"
"学生选课后，因故不能参加课程学习的，应在规定时间内办理退选手续。","对 | 错","对"
"通过补考后所获得的及格以上成绩，成绩绩点均记为1。","对 | 错","对"
"在评定学期中有所修习课程不及格的，仍可参评各类奖学金。","对 | 错","错"
"休学学生在休学期间不保留宿舍床位，复学后可重新办理入住手续。","对 | 错","对"
"经批准退学的学生必须在学校退学决定下达后一个月之内办理好所有离校手续。","对 | 错","对"
"以魏可镁院士为代表的是艰苦奋斗的创业精神。","对 | 错","错"
"提前毕业的时间原则上不超过两年。","对 | 错","错"
"休学学生在休学期间保留宿舍床位。","对 | 错","错"
"学位评定委员会主席由学位授予单位主要行政负责人担任。","对 | 错","对"
"吸毒者视其情节轻重给予留校察看以上处分，贩毒者给予开除学籍处分。","对 | 错","对"
"在校内组织传销、参与邪教、极端宗教主义活动的，给予警告处分。","对 | 错","错"
"休学学生在校外发生意外事故，学校不承担责任。","对 | 错","对"
"学生集体外出活动，需要履行审批手续。","对 | 错","对"
"毕业时，学生体质健康测试成绩达不到()分者按结业处理。","45 | 55 | 50 | 60","50"
"福州大学学生上课迟到、早退()次折算为旷课1学时。","2 | 4 | 5 | 3","4"
"学生应当遵守国家和学校关于网络使用的有关规定，不得()","登录非法网站和传播非法文字、音频、视频资料 | 编造或者传播虚假、有害信息 | 得攻击、侵入他人计算机和移动通讯网络系统 | 以上都","以上都"
"福州大学的校训是()。","明德至诚，博学远志 | 自强不息，厚德载物 | 求是创新，知行合一 | 团结勤奋，严谨求实","明德至诚，博学远志"
"根据《福州大学勤工助学管理办法》，学生参加勤工助学的时间原则上每周不超过()小时。","6 | 8 | 10 | 12","8"
"学生对学校的处理或者处分决定有异议的，可以在接到学校处理或者处分决定书之日起（）内向学校学生申诉处理委员会提出书面申诉。","5日 | 10日 | 15日 | 30日","10日"
"申请修读辅修专业的学生，主修专业已修课程平均学分绩点原则上应不低于（）。","1.5 | 2.0 | 2.5 | 3.0","2.0"
"除开除学籍处分外，给予学生处分一般应当设置（）期限。","3到6个月 | 6到12个月 | 9到15个月 | 12到18个月","6到12个月"
"新生因疾病申请保留入学资格的，可保留入学资格（）。","半年至1年 | 1至2年 | 2至3年 | 1年","1至2年"
"学生每学期修读课程学分一般不宜低于15学分，也不宜超过（）学分。","25 | 28 | 30 | 35","30"
"学生缴费后入住未满一个月后退宿的，按收费标准的（）予以清退住宿费。","90% | 80% | 50% | 不予清退","80%"
"学生对学校的处理或者处分决定有异议的，可以在接到学校处理或者处分决定书之日起（）日内，向学校学生申诉处理委员会提出书面申诉。","15 | 14 | 10 | 7","10"
"拟修读辅修专业的学生在入学半年后的每一个学期均可提出申请，申请修读的学生主修专业已修课程平均学分绩点原则上应不低于2.0。","3.0 | 2.3 | 2.0 | 1.7","2.0"
"毕业时，学生体质健康测试成绩达不到（）者按结业处理。","60分 | 50分 | 40分 | 45分","50分"
"留校察看处分的延长期为（）。","3个月 | 6个月 | 9个月 | 12个月","6个月"
"本科生国家奖学金的奖励标准为每人每年（）元。","6000 | 8000 | 10000 | 12000","10000"
"福州大学四年制本科学生最长修业年限为（）","4 年 | 5 年 | 6 年 | 7 年","6 年"
"本科生每学期修读课程学分一般不宜低于 15 学分，不宜超过（）学分","20 | 25 | 30 | 35","30"
"退学学生在校学习满 1 学年以上，学校发给（）","结业证书 | 肄业证书 | 毕业证书 | 写实性学习证明","肄业证书"
"下面哪些课程不允许申请免听、免修（）。","思想政治理论课 | 体育、军事理论 | 毕业设计（论文） | 部分专业选修课（符合条件可申请）","思想政治理论课 | 体育、军事理论 | 毕业设计（论文）"
"综合素质评价包含下面哪些维度（）。","德育素质测评 | 智育素质测评 | 体育素质测评 | 美育、劳育素质测评","德育素质测评 | 智育素质测评 | 体育素质测评 | 美育、劳育素质测评"
"学生办理缓考需要满足的条件（）。","考核前提交申请 | 提供疾病或者特殊原因证明 | 考试结束后再申请 | 补考可以申请缓考","考核前提交申请 | 提供疾病或者特殊原因证明"
"下面属于学生住宿管理办法中禁止行为（）。","出租床位 | 私自调换床位 | 电动车电池带入宿舍充电 | 爱护宿舍公共设施","出租床位 | 私自调换床位 | 电动车电池带入宿舍充电"
"根据《福州大学授予普通全日制学生学士学位工作细则》，符合下列哪些条件的学生可授予学士学位？()","必须获得国家级竞赛奖励 | 在允许的修业年限内完成本专业培养方案规定的各项要求，通过毕业环节审查，经审核准予毕业 | 在本学科或者专业领域较好地掌握基础理论、专门知识和基本技能 | 拥护中国共产党的领导，遵守宪法和法律，遵守学术道德和学术规范","在允许的修业年限内完成本专业培养方案规定的各项要求，通过毕业环节审查，经审核准予毕业 | 在本学科或者专业领域较好地掌握基础理论、专门知识和基本技能 | 拥护中国共产党的领导，遵守宪法和法律，遵守学术道德和学术规范"
"新生入学后，学校在3个月内按照国家招生规定进行复查，复查内容主要包括以下哪些方面？","录取手续及程序等是否合乎国家招生规定 | 所获得的录取资格是否真实、合乎相关规定 | 本人及身份证明与录取通知、考生档案等是否一致 | 身心健康状况是否符合报考专业或者专业类别体检要求，能否保证在校正常学习、生活","录取手续及程序等是否合乎国家招生规定 | 所获得的录取资格是否真实、合乎相关规定 | 本人及身份证明与录取通知、考生档案等是否一致 | 身心健康状况是否符合报考专业或者专业类别体检要求，能否保证在校正常学习、生活"
"五育素质测评包括以下哪些方面？","德育素质测评 | 智育素质测评 | 体育素质测评 | 美育素质测评和劳育素质测评","德育素质测评 | 智育素质测评 | 体育素质测评 | 美育素质测评和劳育素质测评"
"学校对学生给予纪律处分的种类包括（）。","警告 | 严重警告 | 记过 | 留校察看 | 开除学籍","警告 | 严重警告 | 记过 | 留校察看 | 开除学籍"
"学生违法违纪后，有下列哪些情形之一，可以从轻或者减轻处分？","主动交代本人违法违纪行为，有明显悔改表现的 | 主动挽回损失或者有效阻止危害结果发生的 | 主动退出违法违纪所得的 | 有其他立功表现的","主动交代本人违法违纪行为，有明显悔改表现的 | 主动挽回损失或者有效阻止危害结果发生的 | 主动退出违法违纪所得的 | 有其他立功表现的"
"课程考核成绩记录方式包括以下哪几种？","百分制 | 五级制 | 二级制","百分制 | 五级制 | 二级制"
"宿舍中下列哪些电器属于违规电器？","电热棒 | 电炉 | 电热毯 | 电饭煲","电热棒 | 电炉 | 电热毯 | 电饭煲"
"学生缴费注册后因故终止学业的，住宿费按以下哪些规定清退？","开学两周内的不收费 | 缴费后入住未满一个月的，退还80% | 缴费后入住超过一个月至一个学期的，退还50% | 缴费后入住超过一个学期的，不予清退","开学两周内的不收费 | 缴费后入住未满一个月的，退还80% | 缴费后入住超过一个月至一个学期的，退还50% | 缴费后入住超过一个学期的，不予清退"
